Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
2,55,-5.7931,0.0614,19.18393,,11.39639399,,-6.3069,0.0543,18.149,,10.36146399,,,,,,
2,56,-12.8685,0.0012,12.10853,,4.32099399,,-13.0341,0.0012,11.4218,,3.63426399,,,,,,
2,57,-6.0104,0.0521,18.96663,,11.17909399,,-6.3567,0.0467,18.0992,,10.31166399,,,,,,
2,58,-6.0101,0.0686,18.96693,,11.17939399,,-5.981,0.0708,18.4749,,10.68736399,,,,,,
2,59,-8.0123,0.0134,16.96473,,9.17719399,,-7.8193,0.0173,16.6366,,8.84906399,,,,,,
2,60,-5.494,0.0799,19.48303,,11.69549399,,-5.6837,0.0913,18.7722,,10.98466399,,,,,,
2,61,-8.8952,0.0083,16.08183,,8.29429399,,-8.3873,0.012,16.0686,,8.28106399,,,,,,
2,62,-12.6464,0.0014,12.33063,,4.54309399,,-11.9234,0.0019,12.5325,,4.74496399,,,,,,
2,63,-7.4399,0.0226,17.53713,,9.74959399,,-7.4211,0.0229,17.0348,,9.24726399,,,,,,
2,64,-5.737,0.0868,19.24003,,11.45249399,,-5.6674,0.0924,18.7885,,11.00096399,,,,,,
2,65,-6.0421,0.051,18.93493,,11.14739399,,-5.7694,0.0642,18.6865,,10.89896399,,,,,,
2,66,-5.5808,0.0735,19.39623,,11.60869399,,-5.7682,0.0661,18.6877,,10.90016399,,,,,,
2,67,-6.0949,0.0641,18.88213,,11.09459399,,-6.3539,0.052,18.102,,10.31446399,,,,,,
2,68,-10.214,0.0044,14.76303,,6.97549399,,-9.9956,0.0049,14.4603,,6.67276399,,,,,,
2,69,-7.997,0.0136,16.98003,,9.19249399,,-7.8605,0.0168,16.5954,,8.80786399,,,,,,
2,70,-5.7658,0.0847,19.21123,,11.42369399,,-5.4959,0.1082,18.96,,11.17246399,,,,,,
2,71,-10.7872,0.0033,14.18983,,6.40229399,,-10.4346,0.0039,14.0213,,6.23376399,,,,,,
2,72,-6.5421,0.0445,18.43493,,10.64739399,,-6.7397,0.0382,17.7162,,9.92866399,,,,,,
2,73,-5.3299,0.09,19.64713,,11.85959399,,-5.3346,0.0934,19.1213,,11.33376399,,,,,,
2,74,-5.1563,0.1048,19.82073,,12.03319399,,-5.1078,0.114,19.3481,,11.56056399,,,,,,
2,75,-6.5225,0.0455,18.45453,,10.66699399,,-8.1114,0.0143,16.3445,,8.55696399,,,,,,
2,76,-9.3173,0.007,15.65973,,7.87219399,,-9.0636,0.0081,15.3923,,7.60476399,,,,,,
2,77,-8.565,0.0099,16.41203,,8.62449399,,-9.0489,0.0081,15.407,,7.61946399,,,,,,
2,78,-7.831,0.0173,17.14603,,9.35849399,,-8.012,0.0154,16.4439,,8.65636399,,,,,,
2,79,-5.457,0.1132,19.52003,,11.73249399,,-6.8626,0.0424,17.5933,,9.80576399,,,,,,
2,80,-5.9288,0.0737,19.04823,,11.26069399,,-5.007,0.1649,19.4489,,11.66136399,,,,,,
2,81,-7.3409,0.0242,17.63613,,9.84859399,,-7.0943,0.0291,17.3616,,9.57406399,,,,,,
2,82,-6.9703,0.026,18.00673,,10.21919399,,-7.2509,0.026,17.205,,9.41746399,,,,,,
2,83,-9.9427,0.005,15.03433,,7.24679399,,-9.8001,0.0054,14.6558,,6.86826399,,,,,,
2,84,-6.6826,0.0394,18.29443,,10.50689399,,-6.262,0.0442,18.1939,,10.40636399,,,,,,
2,85,-8.6237,0.0104,16.35333,,8.56579399,,-8.6373,0.0103,15.8186,,8.03106399,,,,,,
2,86,-5.818,0.0613,19.15903,,11.37149399,,-6.1872,0.0595,18.2687,,10.48116399,,,,,,
2,87,-7.8479,0.0169,17.12913,,9.34159399,,-7.7069,0.0189,16.749,,8.96146399,,,,,,
2,88,-6.4407,0.0486,18.53633,,10.74879399,,-6.2471,0.0572,18.2088,,10.42126399,,,,,,
