Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
1,52,-9.0005,0.0174,16.97685,,9.18931399,,-9.5659,0.0135,15.29007,,7.50253399,,,,,,
1,53,-6.3112,0.068,19.66615,,11.87861399,,-7.1738,0.0485,17.68217,,9.89463399,,,,,,
1,54,-5.1409,0.139,20.83645,,13.04891399,,-5.8405,0.1038,19.01547,,11.22793399,,,,,,
1,55,-5.1437,0.1389,20.83365,,13.04611399,,-5.5263,0.1303,19.32967,,11.54213399,,,,,,
1,56,-6.0293,0.0797,19.94805,,12.16051399,,-7.0282,0.0493,17.82777,,10.04023399,,,,,,
1,57,-6.3228,0.0672,19.65455,,11.86701399,,-7.3286,0.0415,17.52737,,9.73983399,,,,,,
1,58,-6.1173,0.0757,19.86005,,12.07251399,,-6.9906,0.0505,17.86537,,10.07783399,,,,,,
1,59,-6.2017,0.072,19.77565,,11.98811399,,-6.6462,0.0618,18.20977,,10.42223399,,,,,,
1,60,-4.5484,0.2127,21.42895,,13.64141399,,-4.9109,0.2065,19.94507,,12.15753399,,,,,,
1,61,-9.4276,0.0143,16.54975,,8.76221399,,-10.0471,0.0108,14.80887,,7.02133399,,,,,,
1,62,-8.0926,0.0277,17.88475,,10.09721399,,-9.138,0.0166,15.71797,,7.93043399,,,,,,
1,63,-6.3352,0.0668,19.64215,,11.85461399,,-7.1533,0.0459,17.70267,,9.91513399,,,,,,
1,64,-5.8671,0.0894,20.11025,,12.32271399,,-6.3803,0.0744,18.47567,,10.68813399,,,,,,
1,65,-8.2866,0.0251,17.69075,,9.90321399,,-8.8268,0.0196,16.02917,,8.24163399,,,,,,
1,66,-6.4337,0.0705,19.54365,,11.75611399,,-6.8412,0.0554,18.01477,,10.22723399,,,,,,
1,67,-7.0983,0.0442,18.87905,,11.09151399,,-7.4786,0.0384,17.37737,,9.58983399,,,,,,
1,68,-8.6168,0.0209,17.36055,,9.57301399,,-9.316,0.0154,15.53997,,7.75243399,,,,,,
1,69,-6.5698,0.0587,19.40755,,11.62001399,,-7.3361,0.0415,17.51987,,9.73233399,,,,,,
1,70,-5.0189,0.1725,20.95845,,13.17091399,,-6.0745,0.0886,18.78147,,10.99393399,,,,,,
1,71,-7.6795,0.0329,18.29785,,10.51031399,,-8.1139,0.0275,16.74207,,8.95453399,,,,,,
1,72,-6.4709,0.062,19.50645,,11.71891399,,-7.0443,0.049,17.81167,,10.02413399,,,,,,
1,73,-5.9239,0.0848,20.05345,,12.26591399,,-6.5262,0.0671,18.32977,,10.54223399,,,,,,
1,74,-7.073,0.048,18.90435,,11.11681399,,-7.8183,0.0321,17.03767,,9.25013399,,,,,,
1,75,-5.0331,0.1713,20.94425,,13.15671399,,-6.6725,0.061,18.18347,,10.39593399,,,,,,
1,76,-6.6077,0.0575,19.36965,,11.58211399,,-7.1591,0.046,17.69687,,9.90933399,,,,,,
1,77,-8.5487,0.0221,17.42865,,9.64111399,,-9.0271,0.0178,15.82887,,8.04133399,,,,,,
1,78,-4.3958,0.315,21.58155,,13.79401399,,-5.1322,0.1752,19.72377,,11.93623399,,,,,,
1,79,-8.1937,0.0273,17.78365,,9.99611399,,-8.0452,0.0285,16.81077,,9.02323399,,,,,,
