Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,,,,
2,44,-7.4691,0.0186,16.77,16.20849,,8.42095399,,-7.4292,0.0226,16.4435,16.15484,,8.36730399,,0.05365,,,,
2,45,-6.4701,0.0471,17.769,17.20749,,9.41995399,,-6.2676,0.0696,17.6051,17.31644,,9.52890399,,-0.10895,,,,
2,46,-6.5307,0.0351,17.7084,17.14689,,9.35935399,,-6.6847,0.0398,17.188,16.89934,,9.11180399,,0.24755,,,,
2,47,-6.8179,0.036,17.4212,16.85969,,9.07215399,,-6.8577,0.0352,17.015,16.72634,,8.93880399,,0.13335,,,,
2,48,-7.3179,0.0206,16.9212,16.35969,,8.57215399,,-7.0434,0.0305,16.8293,16.54064,,8.75310399,,-0.18095,,,,
2,49,-8.4037,0.0119,15.8354,15.27389,,7.48635399,,-8.2669,0.013,15.6058,15.31714,,7.52960399,,-0.04325,,,,
2,50,-5.9896,0.0715,18.2495,17.68799,,9.90045399,,-5.8898,0.0975,17.9829,17.69424,,9.90670399,,-0.00625,,,,
2,51,-4.3215,0.304,19.9176,19.35609,,11.56855399,,-5.7996,0.0837,18.0731,17.78444,,9.99690399,,1.57165,,,,
2,52,-7.1201,0.0235,17.119,16.55749,,8.76995399,,-6.6702,0.0402,17.2025,16.91384,,9.12630399,,-0.35635,,,,
2,53,-12.0993,0.0018,12.1398,11.57829,,3.79075399,,-12.4133,0.0015,11.4594,11.17074,,3.38320399,,0.40755,,,,
2,54,-5.3258,0.125,18.9133,18.35179,,10.56425399,,-5.2669,0.1344,18.6058,18.31714,,10.52960399,,0.03465,,,,
2,55,-5.7931,0.0614,18.446,17.88449,,10.09695399,,-6.3069,0.0543,17.5658,17.27714,,9.48960399,,0.60735,,,,
2,56,-12.8685,0.0012,11.3706,10.80909,,3.02155399,,-13.0341,0.0012,10.8386,10.54994,,2.76240399,,0.25915,,,,
2,57,-6.0104,0.0521,18.2287,17.66719,,9.87965399,,-6.3567,0.0467,17.516,17.22734,,9.43980399,,0.43985,,,,
2,58,-6.0101,0.0686,18.229,17.66749,,9.87995399,,-5.981,0.0708,17.8917,17.60304,,9.81550399,,0.06445,,,,
2,59,-8.0123,0.0134,16.2268,15.66529,,7.87775399,,-7.8193,0.0173,16.0534,15.76474,,7.97720399,,-0.09945,,,,
2,60,-5.494,0.0799,18.7451,18.18359,,10.39605399,,-5.6837,0.0913,18.189,17.90034,,10.11280399,,0.28325,,,,
2,61,-8.8952,0.0083,15.3439,14.78239,,6.99485399,,-8.3873,0.012,15.4854,15.19674,,7.40920399,,-0.41435,,,,
2,62,-12.6464,0.0014,11.5927,11.03119,,3.24365399,,-11.9234,0.0019,11.9493,11.66064,,3.87310399,,-0.62945,,,,
2,63,-7.4399,0.0226,16.7992,16.23769,,8.45015399,,-7.4211,0.0229,16.4516,16.16294,,8.37540399,,0.07475,,,,
2,64,-5.737,0.0868,18.5021,17.94059,,10.15305399,,-5.6674,0.0924,18.2053,17.91664,,10.12910399,,0.02395,,,,
2,65,-6.0421,0.051,18.197,17.63549,,9.84795399,,-5.7694,0.0642,18.1033,17.81464,,10.02710399,,-0.17915,,,,
2,66,-5.5808,0.0735,18.6583,18.09679,,10.30925399,,-5.7682,0.0661,18.1045,17.81584,,10.02830399,,0.28095,,,,
2,67,-6.0949,0.0641,18.1442,17.58269,,9.79515399,,-6.3539,0.052,17.5188,17.23014,,9.44260399,,0.35255,,,,
2,68,-10.214,0.0044,14.0251,13.46359,,5.67605399,,-9.9956,0.0049,13.8771,13.58844,,5.80090399,,-0.12485,,,,
2,69,-7.997,0.0136,16.2421,15.68059,,7.89305399,,-7.8605,0.0168,16.0122,15.72354,,7.93600399,,-0.04295,,,,
2,70,-5.7658,0.0847,18.4733,17.91179,,10.12425399,,-5.4959,0.1082,18.3768,18.08814,,10.30060399,,-0.17635,,,,
2,71,-10.7872,0.0033,13.4519,12.89039,,5.10285399,,-10.4346,0.0039,13.4381,13.14944,,5.36190399,,-0.25905,,,,
2,72,-6.5421,0.0445,17.697,17.13549,,9.34795399,,-6.7397,0.0382,17.133,16.84434,,9.05680399,,0.29115,,,,
2,73,-5.3299,0.09,18.9092,18.34769,,10.56015399,,-5.3346,0.0934,18.5381,18.24944,,10.46190399,,0.09825,,,,
2,74,-5.1563,0.1048,19.0828,18.52129,,10.73375399,,-5.1078,0.114,18.7649,18.47624,,10.68870399,,0.04505,,,,
2,75,-6.5225,0.0455,17.7166,17.15509,,9.36755399,,-8.1114,0.0143,15.7613,15.47264,,7.68510399,,1.68245,,,,
2,76,-9.3173,0.007,14.9218,14.36029,,6.57275399,,-9.0636,0.0081,14.8091,14.52044,,6.73290399,,-0.16015,,,,
2,77,-8.565,0.0099,15.6741,15.11259,,7.32505399,,-9.0489,0.0081,14.8238,14.53514,,6.74760399,,0.57745,,,,
2,78,-7.831,0.0173,16.4081,15.84659,,8.05905399,,-8.012,0.0154,15.8607,15.57204,,7.78450399,,0.27455,,,,
2,79,-5.457,0.1132,18.7821,18.22059,,10.43305399,,-6.8626,0.0424,17.0101,16.72144,,8.93390399,,1.49915,,,,
2,80,-5.9288,0.0737,18.3103,17.74879,,9.96125399,,-5.007,0.1649,18.8657,18.57704,,10.78950399,,-0.82825,,,,
2,81,-7.3409,0.0242,16.8982,16.33669,,8.54915399,,-7.0943,0.0291,16.7784,16.48974,,8.70220399,,-0.15305,,,,
2,82,-6.9703,0.026,17.2688,16.70729,,8.91975399,,-7.2509,0.026,16.6218,16.33314,,8.54560399,,0.37415,,,,
2,83,-9.9427,0.005,14.2964,13.73489,,5.94735399,,-9.8001,0.0054,14.0726,13.78394,,5.99640399,,-0.04905,,,,
2,84,-6.6826,0.0394,17.5565,16.99499,,9.20745399,,-6.262,0.0442,17.6107,17.32204,,9.53450399,,-0.32705,,,,
2,85,-8.6237,0.0104,15.6154,15.05389,,7.26635399,,-8.6373,0.0103,15.2354,14.94674,,7.15920399,,0.10715,,,,
2,86,-5.818,0.0613,18.4211,17.85959,,10.07205399,,-6.1872,0.0595,17.6855,17.39684,,9.60930399,,0.46275,,,,
2,87,-7.8479,0.0169,16.3912,15.82969,,8.04215399,,-7.7069,0.0189,16.1658,15.87714,,8.08960399,,-0.04745,,,,
2,88,-6.4407,0.0486,17.7984,17.23689,,9.44935399,,-6.2471,0.0572,17.6256,17.33694,,9.54940399,,-0.10005,,,,
