# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Oct 22 22:48:35 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.11000 0.3352459669 2.0185512759    0.335 -1.300  3.4926  4.186    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.020 14.131 11.368 10.027 8.525 7.699
0.0152 0.01508 7.11000 0.3500000238 2.0434175133    0.350 -1.272  3.4959  4.190    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.950 13.998 11.241 9.906 8.431 7.620
0.0152 0.01508 7.11000 0.3689983487 2.0735003583    0.369 -1.240  3.4996  4.195    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.64e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.869 13.844 11.094 9.768 8.321 7.530
0.0152 0.01508 7.11000 0.4000000358 2.1185024810    0.400 -1.189  3.5055  4.203    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.743 13.615 10.871 9.556 8.154 7.390
0.0152 0.01508 7.11000 0.4474140704 2.1792124125    0.447 -1.119  3.5142  4.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.568 13.297 10.555 9.254 7.920 7.198
0.0152 0.01508 7.11000 0.4500000477 2.1822809714    0.450 -1.115  3.5147  4.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.558 13.280 10.539 9.238 7.907 7.187
0.0152 0.01508 7.11000 0.4833768606 2.2199380240    0.483 -1.071  3.5206  4.228    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.447 13.081 10.337 9.042 7.759 7.066
0.0152 0.01508 7.11000 0.5000000000 2.2374541529    0.500 -1.048  3.5235  4.231    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.391 12.986 10.238 8.944 7.685 7.006
0.0152 0.01508 7.11000 0.5089706779 2.2465145398    0.509 -1.038  3.5252  4.235    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.365 12.937 10.187 8.894 7.649 6.978
0.0152 0.01508 7.11000 0.5342349410 2.2701615828    0.534 -1.007  3.5295  4.242    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.287 12.800 10.044 8.754 7.544 6.893
0.0152 0.01508 7.11000 0.5500000119 2.2836582633    0.550 -0.988  3.5318  4.245    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.241 12.725 9.965 8.677 7.485 6.844
0.0152 0.01508 7.11000 0.5762574077 2.3042637281    0.576 -0.958  3.5364  4.254    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.164 12.591 9.823 8.538 7.383 6.763
0.0152 0.01508 7.11000 0.6000000238 2.3211213258    0.600 -0.930  3.5401  4.258    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.095 12.475 9.701 8.420 7.294 6.689
0.0152 0.01508 7.11000 0.6105675697 2.3281413711    0.610 -0.918  3.5423  4.262    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.064 12.419 9.641 8.359 7.251 6.657
0.0152 0.01508 7.11000 0.6458939910 2.3497034005    0.646 -0.877  3.5486  4.272    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.962 12.246 9.452 8.172 7.117 6.550
0.0152 0.01508 7.11000 0.6499999762 2.3520353107    0.650 -0.873  3.5492  4.273    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.952 12.229 9.434 8.153 7.103 6.539
0.0152 0.01508 7.11000 0.6545199752 2.3545634848    0.655 -0.867  3.5503  4.274    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.938 12.203 9.405 8.124 7.083 6.524
0.0152 0.01508 7.11000 0.6932778955 2.3746950113    0.693 -0.814  3.5593  4.283    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.806 11.979 9.154 7.870 6.906 6.388
0.0152 0.01508 7.11000 0.7000000477 2.3779267258    0.700 -0.805  3.5608  4.283    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.782 11.941 9.111 7.827 6.876 6.364
0.0152 0.01508 7.11000 0.7500000000 2.3998889087    0.750 -0.640  3.6193  4.382    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.370 10.911 7.989 6.761 6.239 5.961
0.0152 0.01508 7.11000 0.7609429955 2.4042550036    0.761 -0.629  3.6206  4.383    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.343 10.866 7.946 6.722 6.208 5.935
0.0152 0.01508 7.11000 0.8000000119 2.4187244405    0.800 -0.584  3.6256  4.379    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.230 10.683 7.773 6.567 6.082 5.825
0.0152 0.01508 7.11000 0.8198842406 2.4254849135    0.820 -0.563  3.6284  4.380    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.177 10.589 7.684 6.489 6.021 5.773
0.0152 0.01508 7.11000 0.8500000238 2.4350346840    0.850 -0.522  3.6331  4.374    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.69e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.076 10.406 7.524 6.349 5.908 5.675
0.0152 0.01508 7.11000 0.9000000358 2.4492786175    0.899 -0.454  3.6426  4.368    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.904 10.046 7.235 6.103 5.714 5.509
0.0152 0.01508 7.11000 0.9500000477 2.4618122009    0.950 -0.388  3.6525  4.365    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.49e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.740 9.650 6.951 5.871 5.528 5.348
0.0152 0.01508 7.11000 0.9661957026 2.4655535201    0.966 -0.366  3.6559  4.365    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.64e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.685 9.507 6.854 5.796 5.467 5.294
0.0152 0.01508 7.11000 0.9913433194 2.4710851389    0.991 -0.323  3.6624  4.359    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.98e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.579 9.236 6.671 5.654 5.348 5.188
0.0152 0.01508 7.11000 1.0000000000 2.4729154477    1.000 -0.309  3.6646  4.358    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.543 9.146 6.610 5.608 5.308 5.153
0.0152 0.01508 7.11000 1.0034145117 2.4736274084    1.004 -0.304  3.6655  4.357    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.13e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.529 9.110 6.586 5.590 5.293 5.139
