Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,Constant 0 points,Tile 1,Tile 2,Tile 3
1,14,-7.9934,0.0062,17.0252,16.66132,,8.87378399,,-9.1386,0.0082,14.7404,14.55362,,6.76608399,,-2.1077,i,23.87921634,24.17811927,24.23580185
1,20,-2.2238,0.0123,22.7948,22.43092,,14.64338399,,-4.5883,0.0166,19.2907,19.10392,,11.31638399,,-3.327,g,25.0186531,25.01221822,24.35286159
2,4,-7.2446,,17.7676,17.40372,,9.61618399,,-7.7719,,16.4062,16.21942,,8.43188399,,-1.1843,,,,
2,6,-5.9146,,19.0976,18.73372,,10.94618399,,-7.282,,16.8961,16.70932,,8.92178399,,-2.0244,,,,
2,7,-5.6815,,19.3307,18.96682,,11.17928399,,-7.1172,,17.0609,16.87412,,9.08658399,,-2.0927,,,,
2,8,-4.0596,,20.9526,20.58872,,12.80118399,,-4.1691,,20.009,19.82222,,12.03468399,,-0.7665,,,,
2,9,-6.6388,,18.3734,18.00952,,10.22198399,,-7.9634,,16.2147,16.02792,,8.24038399,,-1.9816,,,,
2,11,-6.5461,,18.4661,18.10222,,10.31468399,,-8.0459,,16.1322,15.94542,,8.15788399,,-2.1568,,,,
2,12,-6.8521,,18.1601,17.79622,,10.00868399,,-7.8344,,16.3437,16.15692,,8.36938399,,-1.6393,,,,
2,16,-7.0749,,17.9373,17.57342,,9.78588399,,-8.3551,,15.823,15.63622,,7.84868399,,-1.9372,,,,
2,17,-5.8816,,19.1306,18.76672,,10.97918399,,-5.8003,,18.3778,18.19102,,10.40348399,,-0.5757,,,,
2,19,-6.5818,,18.4304,18.06652,,10.27898399,,-7.6494,,16.5287,16.34192,,8.55438399,,-1.7246,,,,
2,20,-3.1925,,21.8197,21.45582,,13.66828399,,-5.4249,,18.7532,18.56642,,10.77888399,,-2.8894,,,,
2,21,-3.921,,21.0912,20.72732,,12.93978399,,-4.0273,,20.1508,19.96402,,12.17648399,,-0.7633,,,,
